dev_id,car_type,obs_days,total_drop_pct,current_retention,avg_payload_stress,daily_slope,data_source,annual_rate,calibrated_retention
HANIONIQ5,IONIQ5_LONGRANGE,683,-13.568857096968642,86.43114290303136,1.0485729390821725,-0.03947936521327819,BW,-14.409968302846538,86.10551061258053
SITESTEV6,EV6_LONGRANGE,714,4.419796238962647,104.41979623896265,0.8559253886854545,0.006706095865838549,BW,2.4477249910310706,104.08902911037873
SITESTKONA,KONA_LONGRANGE,254,-0.6393583186694229,99.36064168133058,1.030189343442911,0.006767309900716875,BW,2.4700681137616596,99.35106253685282
TESTEV9,EV9,626,8.261103012775067,108.26110301277507,1.1446515988710162,0.021181626060366176,BW,7.731293512033655,108.83842126169135
TESTNIRO01,NIRO_PLUS,706,4.068551513355317,104.06855151335532,1.0141074366973992,0.016469034857187686,BW,6.011197722873505,104.0971494222549
V000AL0002,IONIQ5_LONGRANGE,200,5.137188284939697,105.1371882849397,1.0175513563721985,0.07177084715294543,BW,26.196359210825083,105.18207449932197
V000AL0003,IONIQ5_LONGRANGE,559,-2.195440805614041,97.80455919438596,0.9609804630306571,0.012062957577422342,BW,4.402979515759155,97.84781791880177
V000BA0005,IONIQ5_LONGRANGE,247,-1.5670546340686826,98.43294536593132,0.9895783313344745,0.022663760738633135,BW,8.272272669601094,98.4411324145637
V000BA0007,IONIQ5_LONGRANGE,368,-7.8118161267966855,92.18818387320331,0.9108914884698418,-0.0034506567649987144,BW,-1.2594897192245307,92.54435305265643
V000BA0008,IONIQ5_LONGRANGE,504,-2.911165812659661,97.08883418734034,0.996882544609279,0.010062528234051318,BW,3.672822805428731,97.09337544417242
V000BA0009,IONIQ5_LONGRANGE,286,3.64113309369975,103.64113309369975,0.9700244836655411,0.0013247068556518343,BW,0.4835180023129195,103.58614546562526
V000BB0000,IONIQ5_LONGRANGE,510,-1.4957856669624476,98.50421433303755,0.932212239369095,-0.0044576665292559905,BW,-1.6270482831784365,98.55580190530635
V000BD0000,IONIQ5_LONGRANGE,518,-7.824977764877588,92.17502223512241,1.0290450191784053,-0.01577404891882705,BW,-5.757527855371873,92.06219730711341
V000BD0002,IONIQ5_LONGRANGE,423,5.39359123349557,105.39359123349557,1.1102600686787958,0.022231917186168768,BW,8.1146497729516,105.68316662699327
V000BE0017,IONIQ5_LONGRANGE,417,-5.84074955990755,94.15925044009245,1.3041341173368035,0.0026127901960950202,BW,0.9536684215746823,93.32994042034028
V000BE0020,IONIQ5_LONGRANGE,486,-3.598554085155101,96.4014459148449,1.0126895788296766,-0.012205297634230915,BW,-4.4549336364942835,96.37868582335281
V000BE0029,IONIQ5_LONGRANGE,452,-0.8352283986709494,99.16477160132905,1.0393296198689095,0.011974148224091125,BW,4.370564101793261,99.14850538725007
V000BE0032,IONIQ5_LONGRANGE,472,-2.0376479863417103,97.96235201365829,1.0031399989831489,0.01531469403878532,BW,5.589863324156642,97.95915541471834
V000BG0012,IONIQ5_LONGRANGE,377,-0.9330811381149147,99.06691886188509,1.0452537730909566,0.027843828690559593,BW,10.16299747205425,99.04603974198207
V000BH0014,IONIQ5_LONGRANGE,403,-7.4547023732320525,92.54529762676795,1.0091929185212278,0.01219649986130654,BW,4.451722449376887,92.5111107804876
V000BH0015,IONIQ5_LONGRANGE,253,-2.151385358081086,97.84861464191891,0.9887155919422163,0.09352708110537962,BW,34.13738460346356,97.86078763574207
V000BI0003,EV3_LONGRANGE,338,-7.751062845443869,92.24893715455613,0.9581861767068938,0.00683441186077957,BW,2.494560329184543,92.41271830100172
V000BL0007,IONIQ5_LONGRANGE,286,-3.4641636571444963,96.5358363428555,0.9836561717289304,-0.002201850434872613,BW,-0.8036754087285038,96.56426181455282
V000BL0009,IONIQ5_LONGRANGE,287,-7.194614981623175,92.80538501837682,1.1118259332357692,0.007266390133914395,BW,2.652232398878754,92.41377083817291
V000CA0008,CASPER_LONGRANGE,290,-12.612987148788875,87.38701285121113,1.0598655661075576,-0.038730984130529056,BW,-14.136809207643106,87.01495842286214
V000CA0035,ST1,216,-9.801304980627947,90.19869501937205,1.0623081152221943,-0.0625538817606773,BW,-22.832166842647215,89.89795839898468
V000CA0039,ST1,202,-8.801489593601573,91.19851040639843,1.0310202678941236,-0.016735775406545396,BW,-6.10855802338907,91.0630406773636
V000CB0009,GV70,203,-6.793599893802423,93.20640010619758,0.9437541384229718,-0.008697082822994867,BW,-3.1744352303931263,93.40022089044865
V000CB0010,EV6_LONGRANGE,202,-2.3327663388388373,97.66723366116116,1.1592983864338422,0.007380899508230125,BW,2.6940283205039957,97.48829369582704
V000CB0015,ST1,203,-1.5777181606450057,98.422281839355,0.8892449259396428,-0.008683130836185209,BW,-3.1693427552076012,98.51221518263816
V000CB0021,EV6_LONGRANGE,218,-5.899101699850576,94.10089830014942,1.0605880615314074,-0.016836593066520047,BW,-6.145356469279817,93.92481859480266
V000CB0027,EV6_LONGRANGE,215,-2.63683136406992,97.36316863593008,1.0237045456902647,-0.017318912601300262,BW,-6.321403099474596,97.33209923428393
V000CB0041,IONIQ5_LONGRANGE,215,-6.538238154048557,93.46176184595144,1.017600398240251,-0.053096529226739936,BW,-19.38023316776008,93.40447501658494
V000CB0057,IONIQ5_LONGRANGE,204,-8.812492712742653,91.18750728725735,1.0744711750718239,-0.00694809387802778,BW,-2.5360542654801397,90.86526074047961
V000CB0058,IONIQ5_LONGRANGE,217,3.9754781488134086,103.97547814881341,1.0098823322467938,0.01928050851480151,BW,7.037385607902551,103.99507335420158
